區鄉,里村,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資收入,稿費收入
中山區,江寧里,2586,2951080,12302,78487,1893345,152073,162204,21502,3003,555935,11230,53475,1789,5734,2401013,7644
中山區,復華里,1793,2577876,24467,107396,1459473,133624,175587,21823,1807,610549,1692,46940,965,0,1798513,5911
中山區,興亞里,2165,2733689,24064,56777,1436308,125709,261818,17272,2622,765627,5130,22871,1630,13860,1846139,8094
中山區,朱園里,1885,3538482,140366,91520,1500095,122872,213361,24255,2499,1399462,4765,33726,1529,4033,1862056,6564
中山區,中央里,1336,1714978,17889,40277,977076,70109,87176,6906,2042,482070,1123,24031,399,5881,1236773,3618
中山區,新福里,1770,2322728,16799,36381,1088486,75532,116381,8393,2548,925281,1813,28079,961,22074,1442589,3224
中山區,中庄里,1769,1521900,15699,44850,993814,68702,89767,7150,2022,257257,2717,24417,1026,14479,1338043,4630
中山區,康樂里,1000,957875,10837,20412,535850,52192,75320,8554,1895,229154,1710,15563,2346,4044,711906,5749
中山區,行政里,1989,1668848,17586,50104,1154605,78415,83923,4910,3246,240719,7582,28925,132,0,1550325,3066
中山區,聚葉里,1416,1667460,21179,62233,887268,60173,83682,5136,2715,513494,1027,24124,117,6310,1163091,2179
中山區,正得里,1387,2227378,24034,59592,872192,85683,166073,7705,1407,983668,953,21765,395,3912,1126098,3545
中山區,中吉里,2081,2652763,21795,78180,1501775,113263,213693,13403,2645,640956,2682,50151,638,13582,1919362,4239
中山區,新喜里,1748,1589816,12815,33337,1060319,65484,74746,4996,1864,300969,2849,28039,576,3823,1425525,4379
中山區,埤頭里,1211,1309839,13800,31717,942543,54332,62718,4483,1529,178777,1893,16676,182,1188,1172811,2239
中山區,大直里,3192,3301489,21241,112371,2254490,193353,116772,6947,5059,499351,11969,76604,945,2387,2899093,8242
中山區,劍潭里,1148,1250591,8935,34444,898866,80029,48694,2354,1616,125469,3553,47170,667,0,1135128,3331
中山區,力行里,2430,4853065,52735,182752,2089696,165480,326776,47215,3356,1920254,5871,57659,981,289,2537861,8104
中山區,朱崙里,1149,1463856,5164,89853,890673,60275,109412,6525,1055,259151,5713,28658,443,6934,1110441,2742
中山區,晴光里,1968,2607461,24605,52547,1439449,92021,156150,10010,3313,704503,21096,67495,659,35613,1809407,4157
中山區,永安里,3490,7252727,44295,239143,3673638,276721,383333,32393,5109,2426620,32652,143086,2342,0,4377365,13228
中山區,圓山里,1460,1211378,15683,35076,845590,61690,46265,7159,2090,163799,4425,26807,1587,1206,1145416,5342
中山區,民安里,1699,1860548,16834,53239,917515,98578,237953,21523,1609,449720,12296,45349,633,5297,1211122,5647
中山區,行孝里,1399,1076915,19712,33217,796266,53279,43591,3430,1747,99322,553,26906,14,0,1088496,1175
中山區,龍洲里,1832,1920619,16874,75448,1399216,97203,42953,6958,2197,208825,19063,43023,1719,7140,1767302,6836
中山區,行仁里,2611,2084526,31711,47381,1536689,81399,64972,6804,3290,277033,1605,29317,995,3331,2098040,6292
中山區,朱馥里,2032,1975679,11784,83172,1373048,89688,72315,7869,3203,307450,2961,26023,86,0,1786165,2817
中山區,金泰里,2895,7517030,150141,131670,3974167,236992,265748,254837,4682,2253613,16742,214889,2039,11509,4635160,9074
中山區,北安里,955,907128,6646,23512,680855,42652,30530,1862,1416,98763,7024,15540,193,0,882731,1984
中山區,其　他,26,26046,25,2600,19418,554,2021,168,8,172,0,1081,0,0,23121,0
